ID,lat,lon,ele,time,name
257,43.94181398,-71.74694203,639.71759,2022-06-04T12:41:50Z,KKBA 4VI22 2
258,43.941587,-71.74675603,642.356445,2022-06-04T12:50:16Z,KKBA 4VI22 3
259,43.94147099,-71.74634901,638.114929,2022-07-06T15:01:02Z,KKBA 6VII22 1
260,43.94198304,-71.74626703,634.105042,2022-07-07T15:05:41Z,KKBA 7VII22 1
261,43.94519398,-71.74324804,600.767822,2022-07-01T12:17:38Z,KOWA 1VII22 1
262,43.94563998,-71.74338902,598.820129,2022-06-26T13:58:12Z,KOWA 26VI22 1
263,43.94614097,-71.74343403,597.830017,2022-06-28T12:51:44Z,KOWA 28VI22 1
264,43.94550403,-71.743659,617.438354,2022-07-09T14:58:08Z,KOWA 9VII22 1
265,43.94445503,-71.74665201,636.001038,2022-07-11T12:36:00Z,KPRA 11VII22 1
266,43.94626502,-71.74720396,658.670349,2022-06-21T14:26:09Z,OAGO 21VI22 1
267,43.94642302,-71.74684103,652.823853,2022-06-21T14:23:55Z,OAGO 21VI22 2
268,43.94665402,-71.74678897,650.900391,2022-06-21T14:22:51Z,OAGO 21VI22 3
269,43.94676198,-71.74705803,652.717834,2022-06-21T14:20:27Z,OAGO 21VI22 4
270,43.94658596,-71.74732902,661.160156,2022-06-22T13:07:40Z,OAGO 22VI22 1
271,43.94198497,-71.73788697,569.836792,2022-06-15T15:35:40Z,OAWP 15VI22 1
272,43.94217901,-71.73852702,546.230103,2022-06-20T10:59:44Z,OAWP 20VI22 1
273,43.94606603,-71.74438697,617.101929,2022-06-10T12:46:53Z,OKRA 10VI22 1
274,43.945916,-71.74571098,636.308838,2022-06-15T12:33:49Z,OKRA 15VI22 1
275,43.94636099,-71.74451496,608.327881,2022-06-15T13:44:43Z,OKRA 15VI22 2
276,43.94601499,-71.74496901,626.432678,2022-06-07T12:25:11Z,OKRA 7VI22 1
277,43.94609797,-71.74475804,630.509644,2022-06-07T13:14:34Z,OKRA 7VI22 2
278,43.94626703,-71.74480196,622.970886,2022-06-07T12:40:29Z,OKRA 7VI22 3
279,43.94603603,-71.74517998,629.647217,2022-06-07T13:35:41Z,OKRA 7VI22 4
280,43.94603603,-71.74456802,608.472656,2022-06-07T18:44:48Z,OKRA 7VI22 5
281,43.94694303,-71.73774197,597.392273,2022-07-02T15:30:18Z,OOBA 02VII22 1
282,43.94688997,-71.73777801,598.802917,2022-07-02T15:31:11Z,OOBA 02VII22 2
283,43.94654296,-71.73722799,592.026001,2022-07-09T14:56:20Z,OOBA 09VII22 1
284,43.94664397,-71.736971,586.85022,2022-07-09T14:57:17Z,OOBA 09VII22 2
285,43.94718703,-71.73607699,567.00708,2022-06-12T13:06:26Z,OOBA 12VI22 1
286,43.94678202,-71.737058,564.839539,2022-05-18T15:16:50Z,OOBA 18V22 1
287,43.94653701,-71.73670898,560.647217,2022-05-18T15:19:52Z,OOBA 18V22 2
288,43.94651698,-71.73700503,563.643555,2022-05-18T15:25:17Z,OOBA 18V22 3
289,43.94676902,-71.73732002,586.815735,2022-06-19T12:31:02Z,OOBA 19VI22 1
290,43.94666601,-71.73744701,584.205688,2022-06-19T12:55:16Z,OOBA 19VI22 2
291,43.94628597,-71.73683697,573.183472,2022-06-19T13:00:36Z,OOBA 19VI22 3
292,43.94671597,-71.73742999,581.243286,2022-06-24T13:53:45Z,OOBA 22VI22 1
293,43.94639997,-71.73690696,573.633179,2022-06-25T13:21:48Z,OOBA 25VI22 1
294,43.94692702,-71.73699598,593.447693,2022-06-29T15:02:27Z,OOBA 29VI22 1
295,43.94717404,-71.73726998,587.136536,2022-07-03T14:07:46Z,OOBA 3VII22 1
296,43.946779,-71.73746997,594.547791,2022-07-05T14:03:51Z,OOBA 5VII22 1
297,43.94765499,-71.736943,577.002441,2022-06-06T11:06:56Z,OOBA 6VI22 1
298,43.94704001,-71.736338,578.675415,2022-07-06T14:52:02Z,OOBA 6VII22 1
